An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,Cod SIIIR PJ,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email
2025-2026,CV,ZĂBALA,65057,RURAL,1461100752,Școala Gimnazială Nr. 1 Zăbala,SURCEA,65075,RURAL,461864,1462102374,ȘC. PRIM. SURCEA,Școala Primară Surcea,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,238,527192,0267375019,0267375019,zabisk@yahoo.com
2025-2026,CV,ZĂBALA,65057,RURAL,1461100752,Școala Gimnazială Nr. 1 Zăbala,ZĂBALA,65057,RURAL,461840,1462102424,"ȘC. PRIM. ""DEÁK BÉLA"" ZĂBALA","Școala Primară ""Deák Béla"" Zăbala",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,910,527190,0267375070,0267375019,zabisk@yahoo.com
2025-2026,CV,ÎNTORSURA BUZĂULUI,63599,URBAN,1461100675,"Școala Gimnazială ""Mihail Sadoveanu"" Întorsura Buzăului",ÎNTORSURA BUZĂULUI,63599,URBAN,460559,1462103393,ȘC. PRIM. ÎNTORSURA BUZAULUI,Școala Primară Întorsura Buzăului,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Aviatorului,11,525300,0267370910,0267371491,scoalaib@yahoo.com
2025-2026,DB,CORBII MARI,66866,RURAL,1561100909,ȘCOALA PROFESIONALĂ CORBII MARI,SATU NOU,66928,RURAL,,1562102992,ȘCOALA PRIMARĂ SATU NOU CORBII MARI,ȘCOALA PRIMARĂ SATU NOU CORBII MARI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DOGARILOR,2,137142,0245716129,0245716129,scoalacorbiimari@yahoo.com
2025-2026,DB,CORBII MARI,66866,RURAL,1561100909,ȘCOALA PROFESIONALĂ CORBII MARI,VADU STANCHII,66946,RURAL,,1562102947,ȘCOALA PRIMARĂ VADU STANCHII CORBII MARI,ȘCOALA PRIMARĂ VADU STANCHII CORBII MARI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MARE,36,137144,0245716129,0245716129,scoalacorbiimari@yahoo.com
2025-2026,DB,CORNĂŢELU,66964,RURAL,1561101521,ȘCOALA GIMNAZIALĂ CORNĂȚELU,BOLOVANI,66982,RURAL,,1562105068,ȘCOALA PRIMARĂ BOLOVANI CORNĂȚELU,ȘCOALA PRIMARĂ BOLOVANI CORNĂȚELU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,I.BOLOVĂNEANU,525,137147,0769689987,0769689987,sc_cornatelu@yahoo.com
2025-2026,DB,COSTEŞTII DIN VALE,67130,RURAL,1561105751,ȘCOALA GIMNAZIALĂ COSTEȘTII DIN VALE,COSTEŞTII DIN VALE,67130,RURAL,,1562103568,ȘCOALA PRIMARĂ MERIȘU COSTEȘTII DIN VALE,ȘCOALA PRIMARĂ MERIȘU COSTEȘTII DIN VALE,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,CRIZANTEMELOR,29A,137165,0245717244,0245717244,scoala_costestivale@yahoo.com
2025-2026,DB,COSTEŞTII DIN VALE,67130,RURAL,1561105751,ȘCOALA GIMNAZIALĂ COSTEȘTII DIN VALE,MĂRUNŢIŞU,67149,RURAL,,1562103595,ȘCOALA PRIMARĂ MĂRUNȚIȘU COSTEȘTII DIN VALE,ȘCOALA PRIMARĂ MĂRUNȚIȘU COSTEȘTII DIN VALE,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,MARASESTI,171,137166,0245717244,0245717244,scoala_costestivale@yahoo.com
2025-2026,DB,CĂPŞUNA,66624,RURAL,1561101091,ȘCOALA GIMNAZIALĂ CĂPȘUNA COBIA,GHERGHIŢEŞTI,66599,RURAL,,1562100321,ȘCOALA PRIMARĂ GHERGHIȚEȘTI COBIA,ȘCOALA PRIMARĂ GHERGHIȚEȘTI COBIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,131,137104,0345524201,0345524201,sc.capsuna@yahoo.com
2025-2026,DB,FÂNTÂNELE,66713,RURAL,1561101616,LICEUL TEHNOLOGIC COJASCA,IAZU,66722,RURAL,,1562104786,ȘCOALA PRIMARĂ IAZU COJASCA,ȘCOALA PRIMARĂ IAZU COJASCA,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,ȘCOLII,283,137117,0785294304,0245671508,fantaneles@yahoo.com
2025-2026,DB,GHINEŞTI,68823,RURAL,1561100999,ȘCOALA GIMNAZIALĂ GHINEȘTI SĂLCIOARA,PODU RIZII,68869,RURAL,,1562104682,ȘCOALA PRIMARĂ PODU RIZII SĂLCIOARA,ȘCOALA PRIMARĂ PODU RIZII SĂLCIOARA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 91,137419,0760260895,0760260895,scghinesti@yahoo.com
2025-2026,DB,GROZĂVEŞTI,66884,RURAL,1561101105,ȘCOALA GIMNAZIALĂ GROZĂVEȘTI CORBII MARI,GROZĂVEŞTI,66884,RURAL,,1562100669,ȘCOALA PRIMARĂ NR.2 GROZĂVEȘTI CORBII MARI,ȘCOALA PRIMARĂ NR.2 GROZĂVEȘTI CORBII MARI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,LUNGĂ,218,137137,0723282392,0723282392,scoalagrozavesti@yahoo.com
2025-2026,DB,I. L. CARAGIALE,67755,RURAL,1561101132,ȘCOALA GIMNAZIALĂ NR.1 I. L. CARAGIALE,I. L. CARAGIALE,67755,RURAL,,1562102445,ȘCOALĂ PRIMARĂ NR.2 I. L. CARAGIALE,ȘCOALĂ PRIMARĂ NR.2 I. L. CARAGIALE,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,MORENI,1,137255,0245660408,0245660408,scoalacaragiale@yahoo.com
2025-2026,DB,IEDERA DE JOS,65878,RURAL,1561105796,ȘCOALA GIMNAZIALĂ IEDERA DE JOS,IEDERA DE SUS,65903,RURAL,,1562100461,ȘCOALA PRIMARĂ IEDERA DE SUS,ȘCOALA PRIMARĂ IEDERA DE SUS,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,70,137264,0245662050,0245662050,ederile@yahoo.com
2025-2026,DB,MOŢĂIENI,65654,RURAL,1561100972,ȘCOALA PRIMARĂ MOȚĂIENI,MOŢĂIENI,65654,RURAL,467363,1561100972,ȘCOALA PRIMARĂ MOȚĂIENI,ȘCOALA PRIMARĂ MOȚĂIENI,Unitate de învățământ,PJ,29147060,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 140,137325,0245232141,0245232141,motaieni@scolidb.ro
2025-2026,DB,MĂTĂSARU,68075,RURAL,1561101186,ȘCOALA GIMNAZIALĂ MĂTĂSARU,TEŢCOIU,68057,RURAL,,1562102653,ȘCOALA PRIMARĂ TEȚCOIU MĂTĂSARU,ȘCOALA PRIMARĂ TEȚCOIU MĂTĂSARU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 1,137302,0345505216,0345505216,scoalamatasaru@yahoo.com
2025-2026,DB,NICULEŞTI,104396,RURAL,1561101358,ȘCOALA GIMNAZIALĂ NICULEȘTI,MOVILA,104412,RURAL,,1562103654,ȘCOALA PRIMARĂ NR.4 MOVILA NICULEȘTI,ȘCOALA PRIMARĂ NR.4 MOVILA NICULEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,133,137332,0212670753,0212670753,scoala.niculesti@yahoo.com
2025-2026,DB,NICULEŞTI,104396,RURAL,1561101358,ȘCOALA GIMNAZIALĂ NICULEȘTI,NICULEŞTI,104396,RURAL,,1562103808,ȘCOALA PRIMARĂ NR.3 NICULEȘTI,ȘCOALA PRIMARĂ NR.3 NICULEȘTI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,201,137330,0212670753,0212670753,scoala.niculesti@yahoo.com
2025-2026,DB,NUCET,68299,RURAL,1561101245,LICEUL TEHNOLOGIC NUCET,ILFOVENI,68315,RURAL,,1562102454,ȘCOALA PRIMARĂ ILFOVENI NUCET,ȘCOALA PRIMARĂ ILFOVENI NUCET,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,DN71,133,137337,0245267392,0372009764,scoala_nucet@yahoo.com
2025-2026,DB,ODOBEŞTI,68351,RURAL,1561101159,ȘCOALA GIMNAZIALĂ ODOBEȘTI,MIULEŞTI,68388,RURAL,,1562103948,ȘCOALA PRIMARĂ MIULEȘTI ODOBEȘTI,ȘCOALA PRIMARĂ MIULEȘTI ODOBEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,77,137348,0245721078,0245721078,scoala_odobesti@yahoo.com
2025-2026,DB,POIANA,68440,RURAL,1561105787,ȘCOALA GIMNAZIALĂ NR.1 POIANA,POIANA,68440,RURAL,,1562103003,ȘCOALA PRIMARĂ NR.2 POIANA,ȘCOALA PRIMARĂ NR.2 POIANA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,GLADIOLEI,419A,137365,0245721718,0245721807,scoalapoiana@yahoo.com
2025-2026,DB,POTLOGI,68477,RURAL,1561101349,ȘCOALA GIMNAZIALĂ POTLOGI,VLĂSCENI,68510,RURAL,,1562103256,ȘCOALA PRIMARĂ VLĂSCENI POTLOGI,ȘCOALA PRIMARĂ VLĂSCENI POTLOGI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,GENERAL ZAMFIRESCU,34,137374,0245722420,0245722420,potlogiscoala@yahoo.com
2025-2026,DB,PĂTROAIA VALE,67210,RURAL,1561105846,ȘCOALA GIMNAZIALĂ PĂTROAIA VALE CRÂNGURILE,VOIA,67247,RURAL,,1562104293,ȘCOALA PRIMARĂ VOIA CRÂNGURILE,ȘCOALA PRIMARĂ VOIA CRÂNGURILE,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 17A,137179,0345524159,0345524159,sc_patroaia_vale@yahoo.com
2025-2026,DB,RACIU,67808,RURAL,1561100027,ȘCOALA GIMNAZIALĂ RACIU,SILIŞTEA,67817,RURAL,,1562105561,ȘCOALA PRIMARĂ SILIȘTEA RACIU,ȘCOALA PRIMARĂ SILIȘTEA RACIU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 260,137268,0731767713,0245242527,scoalaraciu@yahoo.com
2025-2026,DB,TELEŞTI,67899,RURAL,1561101367,ȘCOALA GIMNAZIALĂ TELEȘTI LUDEȘTI,LUDEŞTI,67844,RURAL,,1562100719,ȘCOALA PRIMARĂ LUDEȘTI,ȘCOALA PRIMARĂ LUDEȘTI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 79,137270,0345524115,0345524115,scoala_telesti@yahoo.com
2025-2026,DB,TELEŞTI,67899,RURAL,1561101367,ȘCOALA GIMNAZIALĂ TELEȘTI LUDEȘTI,POTOCELU,67862,RURAL,,1562105543,ȘCOALA PRIMARĂ POTOCELU LUDEȘTI,ȘCOALA PRIMARĂ POTOCELU LUDEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,62,137272,0345524115,0345524115,scoala_telesti@yahoo.com
2025-2026,DB,TELEŞTI,67899,RURAL,1561101367,ȘCOALA GIMNAZIALĂ TELEȘTI LUDEȘTI,SCHEIU DE SUS,67880,RURAL,,1562100696,ȘCOALA PRIMARĂ SCHEIU DE SUS LUDEȘTI,ȘCOALA PRIMARĂ SCHEIU DE SUS LUDEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,97,137274,0345524115,0345524115,scoala_telesti@yahoo.com
2025-2026,DB,TÂRGOVIŞTE,65351,URBAN,1561206085,ȘCOALA PRIMARĂ ”ADVENTISTĂ” TÂRGOVIȘTE,TÂRGOVIŞTE,65351,URBAN,,1561206085,ȘC.PRIM.ADVENTISTĂ,ȘCOALA PRIMARĂ ”ADVENTISTĂ” TÂRGOVIȘTE,Unitate de învățământ,PJ,46868104,Un schimb/zi,Taxă,Privată,Magrini,38,130004,0741079331,0344409499,scoalaadventistadb@gmail.com
2025-2026,DB,TĂRTĂŞEŞTI,105543,RURAL,1561101019,LICEUL TEHNOLOGIC ”MARIN GRIGORE NĂSTASE” TĂRTĂȘEȘTI,GULIA,105561,RURAL,,1562104854,ȘCOALA PRIMARĂ GULIA TĂRTĂȘEȘTI,ȘCOALA PRIMARĂ GULIA TĂRTĂȘEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PROFESOR MIRESCU, 67,137437,0245261055,0245261017,scoalageneralagulia@yahoo.com
2025-2026,DB,VIŞINA,69349,RURAL,1561100158,LICEUL TEORETIC ”MIHAI VITEAZUL” VIȘINA,VIŞINA,69349,RURAL,,1562102775,ȘCOALA PRIMARĂ NR.1 OBORANI VIȘINA,ȘCOALA PRIMARĂ NR.1 OBORANI VIȘINA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,OBORANI, 10,137515,0245725217,0245725217,liceulvisina@yahoo.com
2025-2026,DJ,ALMĂJ,70575,RURAL,1661104952,"ȘCOALA GIMNAZIALĂ ""ION GH. PLEȘA"" ALMĂJ",BOGEA,70593,RURAL,,1662102941,SCOALA PRIMARA BOGEA,ȘCOALA PRIMARĂ BOGEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,199,207012,0251449172,0251449172,scoalaplesaalmaj@yahoo.com
2025-2026,DJ,ALMĂJ,70575,RURAL,1661104952,"ȘCOALA GIMNAZIALĂ ""ION GH. PLEȘA"" ALMĂJ",ŞITOAIA,70628,RURAL,,1662102959,SCOALA PRIMARA SITOAIA,ȘCOALA PRIMARĂ ȘITOAIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,88,207016,0251449172,0251449172,scoalaplesaalmaj@yahoo.com
2025-2026,DJ,ARGETOAIA,70753,RURAL,1661105451,"ȘCOALA PROFESIONALĂ ""CONSTANTIN ARGETOIANU"" ARGETOAIA",LEORDOASA,70799,RURAL,,1662103078,SCOALA PRIMARA LEORDOASA,ȘCOALA PRIMARĂ LEORDOASA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Scolii,16,207039,0251452889,0251452889,Scoala_argetoaia@yahoo.com
2025-2026,DJ,ARGETOAIA,70753,RURAL,1661105451,"ȘCOALA PROFESIONALĂ ""CONSTANTIN ARGETOIANU"" ARGETOAIA",PIRIA,70824,RURAL,,1662103119,SCOALA PRIMARA PIRIA,ȘCOALA PRIMARĂ PIRIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Calea Curmăturii,19,207043,0251452889,0251452889,Scoala_argetoaia@yahoo.com
2025-2026,DJ,BECHET,70888,URBAN,1661104857,LICEUL TEORETIC BECHET,BECHET,70888,URBAN,,1662102778,SCOALA PRIMARA BECHET,ȘCOALA PRIMARĂ BECHET,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, A.I.Cuza,33,207060,0251337162,0251337162,liceul_teoretic_bechet@yahoo.com
2025-2026,DJ,BELOŢ,74279,RURAL,1661104613,ȘCOALA GIMNAZIALĂ BELOȚ,BAŞCOV,74260,RURAL,,1662104224,SCOALA PRIMARA BASCOV,ȘCOALA PRIMARĂ BAȘCOV,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,18,207541,0786046777,0786046777,sc_belot@yahoo.com
2025-2026,DJ,BELOŢ,74279,RURAL,1661104613,ȘCOALA GIMNAZIALĂ BELOȚ,PIETROAIA,74304,RURAL,,1662104251,SCOALA PRIMARA PIETRAOAIA,ȘCOALA PRIMARĂ PIETROAIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,104,207546,0786046777,0786046777,sc_belot@yahoo.com
2025-2026,DJ,BELOŢ,74279,RURAL,1661104613,ȘCOALA GIMNAZIALĂ BELOȚ,SOPOT,74251,RURAL,,1662104242,SCOALA PRIMARA SOPOT,ȘCOALA PRIMARĂ SOPOT,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,41,207540,0786046777,0786046777,sc_belot@yahoo.com
2025-2026,DJ,BISTREŢ,70904,RURAL,1661105763,ȘCOALA GIMNAZIALĂ BISTREȚ,BISTREŢU NOU,70913,RURAL,,1662100505,SCOALA PRIMARA BISTRETU NOU,ȘCOALA PRIMARĂ BISTREȚU NOU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Mihail Chirita,46 ,207075,0251355016,0251355016,bistretscoala@yahoo.com
2025-2026,DJ,BRABOVA,70995,RURAL,1661105754,"ȘCOALA GIMNAZIALĂ ""ILIE MARTIN"" BRABOVA",RĂCHITA DE JOS,71028,RURAL,,1662101664,SCOALA PRIMARA RACHITA DE JOS,ȘCOALA PRIMARĂ RĂCHITA DE JOS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Scolii,21,207078,0251447411,0251447411,scoalabrabova@yahoo.com
2025-2026,DJ,BREASTA,71279,RURAL,1661105103,ȘCOALA GIMNAZIALĂ BREASTA,VALEA LUNGULUI,71331,RURAL,,1662100134,SCOALA PRIMARA VALEA LUNGULUI,ȘCOALA PRIMARĂ VALEA LUNGULUI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Scolii,16,207115,0251455012,0251455012,scoala_breasta@yahoo.com
2025-2026,DJ,BULZEŞTI,71368,RURAL,1661102068,"ȘCOALA GIMNAZIALĂ ""MARIN SORESCU"" BULZEȘTI",FRĂŢILA,71377,RURAL,,1662104206,SCOALA PRIMARA FRAȚILA,ȘCOALA PRIMARĂ FRĂȚILA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,2,207136,0251447890,0251447890,scoala_bulzesti@yahoo.com
2025-2026,DJ,BULZEŞTI,71368,RURAL,1661102068,"ȘCOALA GIMNAZIALĂ ""MARIN SORESCU"" BULZEȘTI",GURA RACULUI,71386,RURAL,,1662104215,SCOALA PRIMARA GURA RACULUI,ȘCOALA PRIMARĂ GURA RACULUI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,67,207137,0251447890,0251447890,scoala_bulzesti@yahoo.com
2025-2026,DJ,BĂILEŞTI,70325,URBAN,1661105781,"LICEUL TEORETIC ""MIHAI VITEAZUL"" BĂILEȘTI",BĂILEŞTI,70325,URBAN,,1662101818,SCOALA PRIMARA BALASAN,ȘCOALA PRIMARĂ BALASAN,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, 1 Decembrie, 9,205100,0251311103,0251312000,licmvbailesti@yahoo.com
2025-2026,DJ,CALOPĂR,71466,RURAL,1661101881,ȘCOALA GIMNAZIALĂ CALOPĂR,PANAGHIA,71493,RURAL,,1662101379,SCOALA PRIMARA PANAGHIA,ȘCOALA PRIMARĂ PANAGHIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,180,207153,0251350581,0251350581,scoalacalopar@yahoo.com
2025-2026,DJ,CELARU,71643,RURAL,1661105876,"ȘCOALA GIMNAZIALĂ ""ÎNV. M. GEORGESCU"" CELARU",GHIZDĂVEŞTI,71652,RURAL,,1662102258,SCOALA PRIMARA GHIZDAVESTI,ȘCOALA PRIMARĂ GHIZDĂVEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Pencu Petre,283,207176,0251375719,0251375719,scoalacelaru@yahoo.com
2025-2026,DJ,CELARU,71643,RURAL,1661105876,"ȘCOALA GIMNAZIALĂ ""ÎNV. M. GEORGESCU"" CELARU",MAROTINU DE JOS,71661,RURAL,,1662102276,SCOALA PRIMARA MAROTINU DE JOS,ȘCOALA PRIMARĂ MAROTINU DE JOS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Morilor,236,207177,0251375719,0251375719,scoalacelaru@yahoo.com
2025-2026,DJ,CELARU,71643,RURAL,1661105876,"ȘCOALA GIMNAZIALĂ ""ÎNV. M. GEORGESCU"" CELARU",MAROTINU DE SUS,71670,RURAL,,1662102267,SCOALA PRIMARA MAROTINU DE SUS,ȘCOALA PRIMARĂ MAROTINU DE SUS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Răscoala 1907,39,207178,0251375719,0251375719,scoalacelaru@yahoo.com
2025-2026,DJ,CERNĂTEŞTI,71732,RURAL,1661104509,"ȘCOALA GIMNAZIALĂ ""PETRACHE CERNĂTESCU"" CERNĂTEȘTI",RASNICU OGHIAN,71769,RURAL,,1662103006,SCOALA PRIMARA RASNICU OGHIAN,"ȘCOALA PRIMARĂ ""GHEORGHE SAULESCU"" RASNICU OGHIAN",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,66,207188,0251445201,0251445201,scoala_cernatesti@yahoo.com
2025-2026,DJ,CERNĂTEŞTI,71732,RURAL,1661104509,"ȘCOALA GIMNAZIALĂ ""PETRACHE CERNĂTESCU"" CERNĂTEȘTI",ŢIU,71778,RURAL,,1662103024,SCOALA PRIMARA TIU,"ȘCOALA PRIMARĂ ""CONSTANTIN IONESCU"" ȚIU",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,124,207189,0251445201,0251445201,scoala_cernatesti@yahoo.com
2025-2026,DJ,CETATE,71796,RURAL,1661105216,"LICEUL TEORETIC ""GH. VASILICHI"" CETATE",CETATE,71796,RURAL,,1662101275,SCOALA PRIMARA CETATE,ȘCOALA PRIMARĂ FÂNTÂNA BANULUI CETATE,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Calea Severinului,256,207190,0251364024,0251364024,liceul_cetate@yahoo.com
2025-2026,DJ,CRAIOVA,69919,URBAN,1661106072,"ȘCOALA GIMNAZIALĂ ""DECEBAL"" CRAIOVA",CRAIOVA,69919,URBAN,,1662100523,SCOALA PRIMARA IZVORU RECE,ȘCOALA PRIMARĂ IZVORU RECE CRAIOVA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Izvorul Rece,122,200801,0251419004,0351801841,scoala12craiova@yahoo.com
2025-2026,DJ,CRAIOVA,69919,URBAN,1661105193,"ȘCOALA GIMNAZIALĂ ""GHEORGHE BIBESCU"" CRAIOVA",CRAIOVA,69919,URBAN,,1662100889,SCOALA PRIMARA NR 27 POPOVENI,ȘCOALA PRIMARĂ NR. 27 CRAIOVA-POPOVENI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local, Popoveni, 3,200303,0251426553,0251426553,scoalagenerala36@yahoo.com
2025-2026,DJ,CRAIOVA,69919,URBAN,1661206658,"ȘCOALA PRIMARĂ ""ANGHELOS"" CRAIOVA",CRAIOVA,69919,URBAN,,1661206658,SCOALA PRIMARA ANGHELOS,"ȘCOALA PRIMARĂ ""ANGHELOS"" CRAIOVA",Unitate de învățământ,PJ,48702824,Un schimb/zi,Taxă,Privată,Bărnuţiu Simion,2,200382,0749402143,0749402143,office@anghelos.ro
2025-2026,DJ,DOBREŞTI,72105,RURAL,1661104319,ȘCOALA GIMNAZIALĂ DOBREȘTI,CĂCIULĂTEŞTI,72114,RURAL,,1662104016,SCOALA PRIMARA CACIULATESTI,ȘCOALA PRIMARĂ CĂCIULĂTEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,49,207235,0251338010,0251338010,scoaladobresti@yahoo.com
2025-2026,DJ,DOBREŞTI,72105,RURAL,1661104319,ȘCOALA GIMNAZIALĂ DOBREȘTI,MURTA,72132,RURAL,,1662104025,SCOALA PRIMARA MURTA,ȘCOALA PRIMARĂ MURTA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,50,207235,0251338010,0251338010,scoaladobresti@yahoo.com
2025-2026,DJ,DOBREŞTI,72105,RURAL,1661104319,ȘCOALA GIMNAZIALĂ DOBREȘTI,TOCENI,72141,RURAL,,1662104007,SCOALA PRIMARA TOCENI,ȘCOALA PRIMARĂ TOCENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,18,207235,0251338010,0251338010,scoaladobresti@yahoo.com
2025-2026,DJ,DRĂGOTEŞTI,72169,RURAL,1661105415,ȘCOALA GIMNAZIALĂ DRĂGOTEȘTI,POPÂNZĂLEŞTI,72203,RURAL,,1662103404,SCOALA PRIMARA POPANZALESTI,ȘCOALA PRIMARĂ POPÂNZĂLEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Nicolae Titulescu,27,207244,0251456539,0251456539,scoaladragotesti@yahoo.com
2025-2026,DJ,DRĂNIC,72230,RURAL,1661104943,ȘCOALA GIMNAZIALĂ DRĂNIC,PADEA,72267,RURAL,,1662100595,SCOALA PRIMARA PADEA,ȘCOALA PRIMARĂ PADEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,72,207253,0251351227,0251351227,scoaladranic@gmail.com
2025-2026,DJ,FILIAŞI,70423,URBAN,1661105261,ȘCOALA GIMNAZIALĂ FILIAȘI,RĂCARII DE SUS,70478,URBAN,,1662102109,SCOALA PRIM. RACARII DE SUS,ȘCOALA PRIMARĂ RĂCARII DE SUS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Scolii,15,205305,0251441920,0251441920,generalafiliasi@yahoo.com
2025-2026,DJ,FILIAŞI,70423,URBAN,1661105121,ȘCOALA GIMNAZIALĂ FRATOȘTIȚA,FILIAŞI,70423,URBAN,,1662102127,SCOALA PRIMARA ROMI FILIASI,ȘCOALA PRIMARĂ RROMI FILIAȘI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Dezrobirii,16,205300,0251444784,0251444784,scoala_fratostita@yahoo.com
2025-2026,DJ,FILIAŞI,70423,URBAN,1661105121,ȘCOALA GIMNAZIALĂ FRATOȘTIȚA,FILIAŞI,70423,URBAN,,1662102181,SCOALA PRIMARA RUDARI,ȘCOALA PRIMARĂ RUDARI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Iederei,14,205304,0251444784,0251444784,scoala_fratostita@yahoo.com
2025-2026,DJ,FĂRCAŞ,72285,RURAL,1661101967,ȘCOALA GIMNAZIALĂ FĂRCAȘ,AMĂRĂŞTI,72294,RURAL,,1662101777,SCOALA PRIMARA AMARASTI,ȘCOALA PRIMARĂ AMĂRĂȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Principală,165,207256,0251440531,0251440531,farcasscoala@yahoo.com
