school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
NORTHSHORE PRIMARY SCHOOL,https://northshorepri.moe.edu.sg/,30 Northshore Drive   ,828671,62026490,na,62026491,na,northshore_ps@moe.edu.sg,Puggol Point LRT Station,"84, 384",MADAM LEE YEN PING CHRISTINE,MADAM GAN SER MIN,MADAM ONG YIN PENG,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
OASIS PRIMARY SCHOOL,http://www.oasispri.moe.edu.sg/,71 Edgefield Plains   ,828716,6320 9855,na,6320 9856,na,oasis_ps@moe.edu.sg,Damai LRT Station,"50, 386",MR POH LEONG KIAT DANNY,MADAM HO JUN- LYNN,MR MOHAMED IMRAN B MOHAMED IHSAN,MISS CHUA MAY CHING,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
OPERA ESTATE PRIMARY SCHOOL,http://www.operaestatepri.moe.edu.sg,48 FIDELIO STREET   ,458436,62410417,na,64493042,na,oeps@moe.edu.sg,"Bedok, Kembangan",42,MADAM HOO WAI LING,MR RAYMOND TAY KOON MING,MR GOH LENG SENG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PALM VIEW PRIMARY SCHOOL,http://www.palmviewpri.moe.edu.sg,150 Compassvale Bow   ,544822,65087300,na,68754150,na,palmview_ps@moe.edu.sg,Buangkok,"27, 43, 109, 156, 159, 161, 163, 163M, 550",MRS MING KUM,MR ANG WEI TECK,MISS KHAIRIAH BTE HAIROMAN,MADAM ELAINE MOK MEW KUEN,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PARK VIEW PRIMARY SCHOOL,http://www.parkviewpri.moe.edu.sg,60 PASIR RIS DRIVE 1   ,519524,65851421,na,65851401,na,pvps@moe.edu.sg,Pasir Ris MRT Station,"358, 39, 53, 81, 89",MISS LIE SUYIN JAMIE,MADAM HO FUI FONG,MADAM ONG SEOW PENG,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PASIR RIS PRIMARY SCHOOL,http://www.pasirrispri.moe.edu.sg,5 PASIR RIS STREET 21   ,518968,65822606,na,65828492,na,prps@moe.edu.sg,Pasir Ris MRT,"3, 5, 6, 89",MS LIZA BTE RAHMAT,MADAM HENG WEI SHAN,MADAM THILAGAMANI D/O T SIVANANDAM,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),http://www.payalebarmethodistgirlspri.moe.edu.sg/,298 LORONG AH SOO   ,536741,62862795,na,62803915,na,plmgps@moe.edu.sg,"Kovan (NE13), Serangoon(NE12/CC13)","45, 53, 53M, 62, 113",MRS MRS JOYCE ANG,MADAM TANG WAI YUE,MRS ESTHER SEE-LING SZENGEN,MR VINCENT HIANARDI TJONG,na,na,na,HOUGANG,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PEI CHUN PUBLIC SCHOOL,http://www.peichunpublic.moe.edu.sg,16 LORONG 7 TOA PAYOH   ,319320,63539450,na,63538418,na,pcps@moe.edu.sg,Toa Payoh MRT Station and Braddell MRT Station,"Bus Service 232, 57, 230",MISS ONG LEE CHOO,MR LIM JIT HIN,MISS YANG JINGYU,MR REEVE SIM (SHEN GUANZE),na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,http://www.peihwapresbyterianpri.moe.edu.sg/,7 PEI WAH AVENUE   ,597610,64663787,64663797,64621944,na,phpps@moe.edu.sg,Beauty World,"970, 852, 174, 173, 157, 77, 61",MRS ALLISON LIM,MADAM YONG MING WOEI CHLOE,MISS SARAH CHIA HUI'E,MRS CHONG HUI'EN,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
PEI TONG PRIMARY SCHOOL,http://www.peitongpri.moe.edu.sg/,15 CLEMENTI AVENUE 5   ,129857,67775458,na,67789784,na,ptps@moe.edu.sg,Clementi,"7, 184, 282",MRS ONG-CHEW LU SEE,MR JASON WONG QI HUA,MR MOHAMED YAZEED BIN MOHAMED SAID,MR KOH SEE CHOON,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PEIYING PRIMARY SCHOOL,http://www.peiyingpri.moe.edu.sg,651 YISHUN RING ROAD   ,768687,62575684,na,67558802,na,peiying_ps@moe.edu.sg,Khatib,"851, 852, 853, 854, 855",MADAM WONG WEI YONG,MR ABDUL RANI BIN IDRIS,MDM TAN MENG HUI,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PIONEER PRIMARY SCHOOL,http://www.pioneerpri.moe.edu.sg,80 TENGAH GARDEN AVENUE   ,699915,67932039,na,67932040,na,pioneer_ps@moe.edu.sg,Boon Lay Station,"219, 241",MADAM LOKE WAI LING,MR TAN HOCK CHYE CHARLES,MADAM WONG WEI YI,MR ANG KONG BENG ANDY,na,na,na,TENGAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
POI CHING SCHOOL,http://www.poiching.moe.edu.sg,21 TAMPINES STREET 71   ,529067,67856420,na,67857198,na,contact@poiching.moe.edu.sg,Tampines MRT,"Bus 293, 72, 27 and 168",MADAM LIM TZYY SHIUAN,MISS CHAN JING JING,MRS TAN MEI LING IRENE MRS IRENE GOH HOCK NGUAN,"MR KOH YIH LUN, ALAN",na,na,na,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
PRINCESS ELIZABETH PRIMARY SCHOOL,http://www.princesselizabethpri.moe.edu.sg,30 BUKIT BATOK WEST AVENUE 3   ,659163,65655111,na,65637859,na,peps@moe.edu.sg,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",MR BUCKTHA SEELAN,MADAM CHU SING EE,MRS LIM GEK NOI,MADAM SIM BEE LIAN (SHEN MEILIAN),na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PUNGGOL COVE PRIMARY SCHOOL,https://punggolcovepri.moe.edu.sg/,52 Sumang Walk   ,828674,63857339,na,63857261,na,punggolcove_ps@moe.edu.sg,Nibong LRT Station,"382W, 84",MADAM SEAH WHYE CHOO,MR ANDREW CHONG WENYI,MS ENG JIAMEI,MISS CHNG SHI HUA,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PUNGGOL GREEN PRIMARY SCHOOL,http://www.punggolgreenpri.moe.edu.sg,98 Punggol Walk   ,828772,65383011,na,65383210,na,admin_punggolgreen_ps@moe.edu.sg,Punggol MRT Station,"117, 117M, 119, 381, 382G, 666",MADAM CHUA PEI PEI,MRS TAY CHAI HONG,MR JASBIR SINGH,MADAM CHRISTINA TEE SIEW PING,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PUNGGOL PRIMARY SCHOOL,http://www.punggolpri.moe.edu.sg/,61 HOUGANG AVENUE 8   ,538787,63850762,na,63877793,na,punggol_ps@moe.edu.sg,"Hougang, Buangkok","62, 74, 88, 113, 147, 325",MADAM KO-TAN LI LING,MR GOH CHANG CHUEN,MADAM LIM HUI MEOW ANNIE,MISS USHA RANI HENRY,na,na,na,HOUGANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
PUNGGOL VIEW PRIMARY SCHOOL,http://www.punggolviewpri.moe.edu.sg,9 Punggol Place   ,828845,6570 1588,na,6570 3680,na,punggolview_ps@moe.edu.sg,Punggol MRT Station,"50, 382",MR WONG KIN MUN,MDM DE SOUZA SANDRA ANNE,MADAM SHARIFAH SAMIRAH BTE SYED MOHAMAD,MISS SHERRY OH SWEE LYN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
QIFA PRIMARY SCHOOL,http://www.qifapri.moe.edu.sg,50 WEST COAST AVENUE   ,128104,67783085,na,67761485,na,qifa_ps@moe.edu.sg,Clementi MRT Station,"30, 51, 78, 143, 285, 655",MADAM AMY TAN,MADAM CHOO SIEW HONG,MADAM NORAINI BTE MANSOOR,na,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
QIHUA PRIMARY SCHOOL,http://www.qihuapri.moe.edu.sg,5 WOODLANDS STREET 81   ,738525,62696250,na,62693114,na,qihua_ps@moe.edu.sg,Woodlands MRT Station,"911, 900",MRS LEE HUI FENG,MR FOO CHUAN KAI,MISS NURUL SUHANA BINTE SULAIMAN,MISS ANUSHIA DEVI D/O BALACHANDRAN,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
QUEENSTOWN PRIMARY SCHOOL,http://www.queenstownpri.moe.edu.sg,310 MARGARET DR   ,149303,64741044,na,64713640,na,qtps@moe.edu.sg,Queenstown MRT,"32, 111, 145, 195",MADAM LIM PEI LIN OLIVIA MRS OLIVIA CHEONG,MISS CHEW MAY,MR CHUA THIAN KEONG,MR LOW KAY KIAT,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
RADIN MAS PRIMARY SCHOOL,https://www.radinmaspri.moe.edu.sg/,1 BUKIT PURMEI AVENUE   ,99840,62733937,na,62763083,na,rmps@moe.edu.sg,"Tiong Bahru MRT, HarbourFront MRT","SBS 123, 123M, 131, 131M, SBS 65, 121, 195, 855",MADAM TAN SUN SUN,MADAM NG LI YI,"MISS TAN SZE YEN, GERALIN",MS GOH CHIU KENG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
RAFFLES GIRLS' PRIMARY SCHOOL,http://www.rafflesgirlspri.moe.edu.sg,21 Hillcrest Road   ,289072,64684377,na,64692024,na,rgps@moe.edu.sg,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",MADAM ELAINE QUEK-LIM HWEE BIN,MISS KONG SU MAY,MISS SUJATHA PARAMATHAYALAN,MR LOH YUH POR,na,na,na,BUKIT TIMAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
RED SWASTIKA SCHOOL,http://www.redswastika.moe.edu.sg,350 BEDOK NORTH AVENUE 3   ,469719,64430380,na,62448391,na,redswastika@moe.edu.sg,Bedok Reservoir MRT,"Bus 14, 17, 28, 46, 66, 67, 69, 222, 228",MR LIM MENG WEI,MS ANGELA GOH BEE LIAN,MADAM ESTHER E TZY KWEI,MR TAN MENG KHIANG,na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
RIVER VALLEY PRIMARY SCHOOL,http://www.rivervalleypri.moe.edu.sg,2 RIVER VALLEY GREEN   ,237993,67371785,na,67321951,na,rvps@moe.edu.sg,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",MRS JENNIFER PANG CHEE CHYN,MRS LOH SOK HIANG JACQUELINE,MADAM NUR RASHIDAH BTE ABDUL RASHID,MISS LOH PECK JIN,na,na,na,CENTRAL,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
RIVERSIDE PRIMARY SCHOOL,http://www.riversidepri.moe.edu.sg,110 Woodlands Crescent   ,737803,63654490,na,63654460,na,riverside_ps@moe.edu.sg,Admiralty MRT Station,Bus No 913 and Bus No 964,MR CHIA SEE CHEW ALBERT,MADAM KHOO PHAIK HOON REGINA,MRS RANUKA PALANIVELU,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
RIVERVALE PRIMARY SCHOOL,http://www.rivervalepri.moe.edu.sg/,80 RIVERVALE DRIVE   ,545092,63887450,na,63887449,na,rivervale_ps@moe.edu.sg,Nearest LRT Station : Rumbia,"Bus Service 86, 371.",MISS RADHA D/O G SUBRAMANIAM,MRS MARIA GOH,MISS WONG WAN LING,MR CHIA SENG CHIANG AARON,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ROSYTH SCHOOL,https://www.rosyth.moe.edu.sg,21 Serangoon North Avenue 4   ,555855,64812273,na,64831102,na,rosyth_sch@schools.gov.sg,"Ang Mo Kio, Serangoon","73, 315, 116",MR SURAJ NAIR S/O VENUGOPAL,MISS KWAN RUIYING KAREN,MADAM TAN LAY WAH,MR TAN BOON SENG,na,na,na,SERANGOON,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
RULANG PRIMARY SCHOOL,http://www.rulangpri.moe.edu.sg/,6 JURONG WEST STREET 52   ,649295,65657771,na,65632382,na,rulang_ps@moe.edu.sg,Lakeside,SBS 335,MADAM YEOW CHERN EE,MR TAN JIAN ZHONG ADRIAN,MR TOH JIN TIAN,MRS ANNABELLE WOO - TAY CAI FANG,"MR TAN KOK LENG, STEVEN",na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SEMBAWANG PRIMARY SCHOOL,http://www.sembawangpri.moe.edu.sg,10 SEMBAWANG DRIVE   ,757715,67567330,na,67560367,na,sembawang_ps@moe.edu.sg,Sembawang MRT (6 to 8-minute walk),"656, 859, 859B, 962, 980",MR NG AIK BOON,MR SEE KOK KIONG,MISS TIFFANY CHONG,MR TAN THIAM SIONG,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SENG KANG PRIMARY SCHOOL,http://www.sengkangpri.moe.edu.sg/,21 COMPASSVALE WALK   ,545166,63840809,na,63840839,na,skps@moe.edu.sg,Sengkang MRT,"27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965",MRS LEE SIEW HONG,MR MOHAMED AZHAR BIN MOHAMED NOOR,MR ZHOU WENCONG,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SENGKANG GREEN PRIMARY SCHOOL,https://sengkanggreenpri.moe.edu.sg/,15 Fernvale Road   ,797636,63864255,na,62428796,na,sengkanggreen_ps@moe.edu.sg,Fernvale LRT (SW5) - (Sengkang West Loop),"Sengkang and Toa Payoh Interchange - no 163, Along Yio Chu Kang Road - no 70, 86, 103 and 854, Punggol Interchange to Bishan Interchange - no 50, Hougang Central Interchange - no 102",MR GAU POH TECK,MADAM ADILA ONG KIM LUAN,MR TAN KENG LIM JEREMY,MADAM GINNY CHUA GEOK HONG,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SHUQUN PRIMARY SCHOOL,http://www.shuqunpri.moe.edu.sg,8 JURONG WEST STREET 51   ,649332,65637129,na,65637418,na,sqps@moe.edu.sg,W11 Lakeside,"98, 187, 335",MRS SARA DE SOUZA,MDM SO KAH LAY,DR. CHOONG PEK LAN,MS TUNG AI JUI,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SI LING PRIMARY SCHOOL,http://www.silingpri.moe.edu.sg,61 WOODLANDS AVENUE 1   ,739067,62698832,na,63675516,na,slps@moe.edu.sg,Woodlands,912 from Woodlands Interchange,MR KOE EE TIONG,MR RAJ KUMAR S/O V SIVALINGAM,MISS LIM TZE TING,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,www.scgs.moe.edu.sg,190 DUNEARN ROAD   ,309437,62527966,na,62523076,na,scgps@moe.edu.sg,Stevens,"66, 67, 105, 132, 151, 153, 154, 156, 170, 171, 186, 190, 605, 700, 960",MRS LINDA CHAN,MADAM LIM YING YING,MADAM PEH TAN WEE,MADAM SIA YAN SAN,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SOUTH VIEW PRIMARY SCHOOL,http://www.southviewpri.moe.edu.sg,6 Choa Chu Kang Central   ,689762,67697176,na,67631091,na,svps@moe.edu.sg,Choa Chu Kang MRT Station,307 / South View LRT Station,MISS ANG MUI KHOONG,MISS GOH JIA LI,MR ONG HONG GHEE,MR RAMESH TIWARI S/O RAMADHAR TIWARI,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
SPRINGDALE PRIMARY SCHOOL,http://springdalepri.moe.edu.sg/,71 Anchorvale Link   ,544799,63157600,na,63153351,na,springdale_ps@moe.edu.sg,"Nearest MRT station: Sengkang (NE16), Nearest LRT station: Farmway (SW2)","Bus Service No.: 50, 85, 102, 372, Nearest Bus Stop (No. 67381): In front of Blk 326 Car Park, *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",MRS QUEK-SIM KIM LIANG ANNE,MR SHOEB BURHANUDDIN,MISS SONG XIUHUA SHAFIQAH NADIAH,MADAM LIM BEE TIN,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST ANDREW'S SCHOOL (JUNIOR),http://www.saintandrewsjunior.moe.edu.sg,2 FRANCIS THOMAS DRIVE   ,359337,62884303,na,62895242,na,sasj@moe.edu.sg,"Potong Pasir, Toa Payoh","8, 13, 26, 31, 90, 90A, 107, 133, 142, 147, 853, NR6",MRS ELSIE POEY,MISS HEW YI QIAN CAROLINE,MRS STEPHANIE GOH,MR BOEY WENG YUE,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,http://www.stanthonyscanossianpri.moe.edu.sg,1602 BEDOK NORTH AVE 4   ,469701,64492239,na,64492146,na,sacps@moe.edu.sg,Bedok MRT,"17, 18",MRS SHARON CLARISSA FOO,MISS THIA HWEI LING SHARON,MISS LIM SHI'EN SHAWNA,na,na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. ANTHONY'S PRIMARY SCHOOL,http://www.stanthonyspri.moe.edu.sg,30 Bukit Batok St 32   ,659401,65690822,na,65690811,na,saps@moe.edu.sg,Bukit Gombak MRT Station,945,MADAM GOH LUNG ENG,MR TEE LENG TECK,MRS SOH PEIWEN,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. GABRIEL'S PRIMARY SCHOOL,http://www.stgabrielspri.moe.edu.sg,220 Lorong Chuan   ,556742,62803628,na,63820344,na,stgps@moe.edu.sg,Lor Chuan MRT Station (Circle Line),"73, 105, 159",MR MARTIN TAN SIEW KIN,MADAM CHUA WANG LING IRENE,MR LIM CHONG ENG,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. HILDA'S PRIMARY SCHOOL,http://www.shps.moe.edu.sg,2 Tampines Ave 3   ,529706,67811916,na,67830527,na,shps@moe.edu.sg,"Tampines West, Tampines Central",Feeder Bus service: 293 from Tampines Interchange (towards St 71),MADAM LAW LI MEI,MADAM LOW AI LING,MADAM NG YIN SZE JOSEPHINE,MADAM POH LYE IMM,na,na,na,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL
ST. JOSEPH'S INSTITUTION JUNIOR,https://sjijunior.moe.edu.sg,3 ESSEX ROAD   ,309331,62552700,na,62557455,na,sjijunior@moe.edu.sg,Novena,21;54;56;57;124;131;141;166;518;851;980,MR LEONG YEW HON ERIC,"MISS YAK HIOK WOON, FAITH (YE YUYUN)",MISS SNG WAN XIAN,MR LIM YEW TEE COLLIN,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. MARGARET'S SCHOOL (PRIMARY),http://www.stmargaretspri.moe.edu.sg,136 Sophia Road   ,228197,63394247,na,63394264,na,stmargaretps@moe.edu.sg,"Little India MRT Station (NE7/DT12), Dhoby Ghaut MRT Station (NS24/NE6/CC1)","64, 65, 131, 139, 147, 857, 166, (alight at the bus stop after Parklane Shopping Mall)",MRS NEO HUI EN CHERLYN,MDM WENDY SENG GEK CHENG,MISS YU XIN STELLA,MISS TAN CHER LANG,na,na,na,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ST. STEPHEN'S SCHOOL,http://www.ststephens.moe.edu.sg,20 SIGLAP VIEW   ,455789,62419513,64441645,64422576,na,ststephensch@moe.edu.sg,Kembangan MRT Station,"2, 7, 24, 25, 26, 28, 30, 32, 33, 67, 854",MR GOH HENG LIANG TIMOTHY,MR EDWIN HENG TOW YANG,MR CHEW SOO KWANG,na,na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TAMPINES NORTH PRIMARY SCHOOL,http://www.tampinesnorthpri.moe.edu.sg,30 TAMPINES AVENUE 9   ,529565,67854329,na,67863117,na,tnps@moe.edu.sg,Tampines MRT,"SBS Transit 28, 29, 293",MISS ONG PEI FEN JAMIE,MR MOHAMED YUSUFF MOHAMED ALLIE,MISS CHARMAINE TAY,MR LIM KIAN LOO,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TAMPINES PRIMARY SCHOOL,http://www.tampinespri.moe.edu.sg,250 TAMPINES STREET 12   ,529426,67831190,na,67843521,na,tpps@moe.edu.sg,Tampines MRT,"8, 10, 17, 18, 27, 31, 65, 292, 293, or any bus going into Tampines Interchange",MR HANAFI B ASMORE,MADAM ARIKEN CHARMAINE CARRIE,MR HO WEE MIN  KELVIN,MR TIN CHEE KUANG EDMUND,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TANJONG KATONG PRIMARY SCHOOL,http://www.tanjongkatongpri.moe.edu.sg/,10 Seraya Road   ,437259,63444728,na,63445370,na,tkps@moe.edu.sg,na,na,MS TAN SEOK KUAN,MADAM TOH LENG LENG,MISS SHIEH SIAO YAN CAROL,MRS VIJAYA GANESH,na,na,na,MARINE PARADE,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TAO NAN SCHOOL,http://www.taonan.moe.edu.sg,49 MARINE CRESCENT   ,449761,64428307,na,64435973,na,taonan_sch@moe.edu.sg,"Marine Parade, Marine Terrace","13, 16, 31, 36, 43, 48, 55, 134, 196, 197",MADAM POH QINYU,MR CHAN TUCK CHEONG,MADAM FOO MEI PING,MRS TEO CHAI HIAH,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,CHINESE,na,na
TECK GHEE PRIMARY SCHOOL,http://www.teckgheepri.moe.edu.sg,1 ANG MO KIO STREET 32   ,569299,64548769,na,64589886,na,tgps@moe.edu.sg,Ang Mo Kio & Bishan,"22, 24, 135, 853, 162, 262, 159",MISS REZIA RAHUMATHULLAH,MADAM CHOH THIAN JENG CELIA,MR TAN CHUAN YANG,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
