Назва закладу освіти,Код в ЄДЕБО,ОУО підтвердив дані,Скорочена назва,Статус,Тип закладу,Форма власності,Код КОАТУУ,Регіон,Населений пункт,Місцезнаходження (юридична адреса),Код КАТОТТГ,Населений пункт (за КАТОТТГ),Головний заклад,"Найменування органу, до сфери управління якого належить заклад освіти",Телефон,Факс,Електронна пошта,Веб-сайт,Керівник,Опорний / Філія,Сільський,Гірський,Інтернат,Ліцензовані обсяги
Варварівська гімназія Бахмацької міської ради,142479,Так,Варварівська гімназія,ліквідовано,гімназія,Комунальна,7420381502,Чернігівська область,"с. Варварівка, Бахмацький район, Чернігівська область","вулиця Привокзальна, 4",UA74040030060082142,"Чернігівська обл., Ніжинський р-н",,Бахмацька міська рада,(04635)44599,,Varvarivka_0109@ukr.net,,Яковенко Ірина Іванівна,Ні,Так,Ні,Ні,
Золочівський заклад загальної середньої освіти І-ІІІ ступенів №2 імені Маркіяна Шашкевича Золочівської міської ради Золочівського району Львівської області,142480,Так,Золочівський ЗЗСО І-ІІІ ст. №2,працює,школа,Комунальна,4621810100,Львівська область,"Золочів, Золочівський район, Львівська область","вулиця Січових Стрільців, 2",UA46040070010068975,"Львівська обл., Золочівський р-н",,"Відділ з питань освіти, молоді і спорту Золочівської міської ради Золочівського району Львівської області",(03265)42003,,zschool2@i.ua,http://zol-2.schools.lviv.ua/,Смолінська Оксана Федорівна,Опорний заклад,Ні,Ні,Ні,
Кременчуківський ліцей Антонінської селищної ради Хмельницького району Хмельницької області,142481,Так,Кременчуківський ліцей,працює,ліцей,Комунальна,6822784801,Хмельницька область,"с. Кременчуки, Красилівський район, Хмельницька область","вулиця Каштанова, 14",UA68040010140039836,"Хмельницька обл., Хмельницький р-н",,"Відділ освіти, молоді, спорту, культури і туризму Антонінської селищної ради Хмельницького району Хмельницької області",(03855)91247,,kremenchuki@meta.ua,https://sites.google.com/site/kremencukivskaskola/home,Синиця Василь Іванович,Ні,Так,Ні,Ні,
Манівецька загальноосвітня школа I-II ступенів Красилівської міської ради Хмельницької області,142482,Так,Манівецька ЗОШ І-ІІ ст.,ліквідовано,школа,Комунальна,6822787101,Хмельницька область,"с. Манівці, Красилівський район, Хмельницька область","вулиця Шкільна, 5",UA68040210180073133,"Хмельницька обл., Хмельницький р-н",,"Відділ освіти, молоді та спорту Красилівської міської ради Хмельницької області",(03855)42242,,manivci@edu.kr.km.ua,https://manivcischool.e-schools.info/,Хамазюк Валентина Миколаївна,Ні,Так,Ні,Ні,
"Філія ""Шилівська гімназія Зіньківського опорного ліцею №1 Зіньківської міської ради""",142483,Так,Шилівська гімназія,працює,гімназія,Комунальна,5321387801,Полтавська область,"с. Шилівка, Зіньківський район, Полтавська область","вулиця Центральна, 32",UA53080090820030327,"Полтавська обл., Полтавський р-н",Зіньківський опорний ліцей №1 Зіньківської міської ради,Відділ освіти та молоді виконавчого комітету Зіньківської міської ради Полтавської області,(05353)9-33-40,,Shilovkashkola@gmail.com,http://shilovkaschool.at.ua,Костирко Валентина Григорівна,Філія,Так,Ні,Ні,
Збручанський навчально-виховний комплекс у складі загальноосвітньої школи I-II ступенів та дошкільного навчального закладу Кам'янець-Подільського району Хмельницької області,142484,Так,,ліквідовано,навчально-виховний комплекс (об'єднання),Комунальна,6822485102,,"с. Збруч, Кам'янець-Подільський район, Хмельницька область","вулиця Франка, 18",,,,Відділ освіти Кам`янець-Подільської районної державної адміністрації Хмельницької області,(097)6804016,,zbrych-08kpr@i.ua,,Козак Галина Олександрівна,Ні,Так,Ні,Ні,
Ліцей ім. Романа Шухевича Івано-Франківської міської ради,142485,Так,Ліцей ім. Романа Шухевича,працює,ліцей,Комунальна,2610100000,Івано-Франківська область,"Івано-Франківськ, Івано-Франківська область","вулиця Шухевичів, 35",UA26040190010045761,Івано-Франківська обл.,,Департамент освіти та науки Івано-Франківської міської ради,(0342)534211,,litsei.shukhevycha@osvita.if.ua,lyceum-shukhevych.if.ua,Косар Геннадій Степанович,Ні,Ні,Ні,Ні,
Ліцей №7 Івано-Франківської міської ради,142486,Так,Ліцей № 7,працює,ліцей,Комунальна,2610100000,Івано-Франківська область,"Івано-Франківськ, Івано-Франківська область","вулиця Грушевського, 16",UA26040190010045761,Івано-Франківська обл.,,Департамент освіти та науки Івано-Франківської міської ради,(0322)720970,,lysee7if@gmail.com,liceum7.if.ua,Румак Оксана Михайлівна,Ні,Ні,Ні,Ні,
Бережницька гімназія Банилівської сільської ради Вижницького району Чернівецької області,142487,Так,Бережницька гімназія,працює,гімназія,Комунальна,7320580502,Чернівецька область,"с. Бережниця, Вижницький район, Чернівецька область","вулиця Головна, 78",UA73020010020058340,"Чернівецька обл., Вижницький р-н",,Банилівська сільська рада,(03730)64459,,edu_berej_vn.cv@ukr.net,,Андрич Олена Михайлівна,Ні,Так,Ні,Ні,158
Таверівська загальноосвітня школа І-ІІ ступенів Чутівської селищної ради Полтавського району Полтавської області,142488,Так,Таверівська ЗОШ І-ІІ ступенів,,школа,Комунальна,5325483201,Полтавська область,"с. Таверівка, Чутівський район, Полтавська область","вулиця Шкільна, 7а",UA53080450250073220,"Полтавська обл., Полтавський р-н",,Відділ освіти виконавчого комітету Чутівської селищної ради,(05347)97540,,taverivkaschool@gmail.com,,Шинкаренко Ольга Володимирівна,Ні,Так,Ні,Ні,
Заріччівська початкова школа Колківської селищної ради Волинської області,142489,Так,Заріччівська початкова школа,працює,школа,Комунальна,0723681102,Волинська область,"с. Заріччя, Маневицький район, Волинська область","вулиця Шкільна, 14",UA07080130070088735,"Волинська обл., Луцький р-н",,Відділ освіти Колківської селищної ради Волинської області,(097)4064655,,zarisha-school15@ukr.net,http://zarisha-school.zzz.com.ua/,Мельник Надія Андріївна,Ні,Так,Ні,Ні,
Чернівська гімназія Букачівської селищної ради Івано-Франківської області,142490,Так,Чернівська гімназія,працює,гімназія,Комунальна,2624486901,Івано-Франківська область,"с. Чернів, Рогатинський район, Івано-Франківська область","вулиця Шевченка, 44",UA26040050130024570,"Івано-Франківська обл., Івано-Франківський р-н",,"Відділ освіти, культури, туризму, молоді та спорту Букачівської селищної ради",(03435)43106,,schoolcherniv@ukr.net,,Шорін Андрій Степанович,Ні,Так,Ні,Ні,
"Комунальний заклад ""Сковородинівський ліцей"" імені Григорія Савича Сковороди Золочівської селищної ради",142491,Так,"КЗ ""Сковородинівський ліцей"" імені Г.С.Сковороди",працює,ліцей,Комунальна,6322681504,Харківська область,"с. Сковородинівка, Золочівський район, Харківська область","вулиця Шкільна, 1 А",UA63020050490062030,"Харківська обл., Богодухівський р-н",,"Відділ освіти, молоді та спорту Золочівської селищної ради",(05764)94-1-34,,skovorodinovka_sc@ukr.net,http://sc_skovorodynivka.klasna.com,Фесунова Валентина Василівна,Ні,Так,Ні,Ні,
Григорівська філія Новомар'ївського ліцею Новомар'ївської сільської ради Вознесенського району Миколаївської області,142492,Так,Григорівська філія,працює,гімназія,Комунальна,4821480801,Миколаївська область,"с. Григорівка, Братський район, Миколаївська область","вулиця Степова, 11",UA48040170050088153,"Миколаївська обл., Вознесенський р-н",Новомар'ївський ліцей Новомар'ївської сільської ради Вознесенського району Миколаївської області,"""Новомар'ївська сільська рада Братського району Миколаївської області""",(068)5546360,,grigorovkaschool@gmail.com,https://grigorovkaschool.e-schools.info/,Тарасенко Поліна Сергіївна,Філія,Так,Ні,Ні,
"Золочівський заклад загальної середньої освіти І-ІІ ступенів ""Школа радості"" Золочівської міської ради Золочівського району Львівської області",142493,Так,Золочівський ЗЗСО I-II ст. «Школа радості»,працює,школа,Комунальна,4621810100,Львівська область,"Золочів, Золочівський район, Львівська область","вулиця Коновальця Євгена, 68",UA46040070010068975,"Львівська обл., Золочівський р-н",,"Відділ з питань освіти, молоді і спорту Золочівської міської ради Золочівського району Львівської області",(03265)4-35-92,,school_radosti@i.ua,nvkradist.wixsite.com/zolochiv-nvk,Сухецька Ярина Дмитрівна,Ні,Ні,Ні,Ні,
Яблунівська гімназія Буської міської ради,142494,Так,Яблунівська гімназія,працює,гімназія,Комунальна,4620687401,Львівська область,"с. Яблунівка, Буський район, Львівська область","вулиця Шевченка, 1 В",UA46040030670027198,"Львівська обл., Золочівський р-н",,"Відділ освіти, культури, молоді та спорту Буської міської ради Золочівського району Львівської області",(096)4354414,,yablunivka_sc@ukr.net,http://yablynivka.at.ua,Грещук Йосиф Франкович,Ні,Так,Ні,Ні,
Дніпровська гімназія № 18 Дніпровської міської ради,142495,Так,Гімназія № 18,працює,гімназія,Комунальна,1210136300,Дніпропетровська область,"Дніпро, Дніпропетровська область","вулиця Таранушенка Стефана, 12",UA12020010010114149,"Дніпропетровська обл., м. Дніпро",,Департамент гуманітарної політики Дніпровської міської ради,(099)2070732,,sz018@dhp.dniprorada.gov.ua,http://kzoszsh18.dnepredu.com,Клименко Юлія Миколаївна,Ні,Ні,Ні,Ні,
Дніпровська гімназія № 92 Дніпровської міської ради,142496,Так,Гімназія № 92,працює,гімназія,Комунальна,1210138100,Дніпропетровська область,"Дніпро, Дніпропетровська область","вулиця Проїжджа, 2 Б",UA12020010010350200,"Дніпропетровська обл., м. Дніпро",,Департамент гуманітарної політики Дніпровської міської ради,(056)7800216,,sz092@dhp.dniprorada.gov.ua,http://shkola92dp.dnepredu.com,Дмитренко Тетяна Миколаївна,Ні,Ні,Ні,Ні,
Миролюбівська гімназія Новомар'ївської сільської ради Вознесенського району Миколаївської області,142497,Так,Миролюбівська гімназія,працює,гімназія,Комунальна,4821482401,Миколаївська область,"с. Миролюбівка, Братський район, Миколаївська область","вулиця Центральна, 33/1",UA48040170120076724,"Миколаївська обл., Вознесенський р-н",,"""Новомар'ївська сільська рада Братського району Миколаївської області""",(097)0184197,,fobos2013@meta.ua,https://myrolyubivkaschool.e-schools.info/,Горінська Надія Семенівна,Ні,Так,Ні,Ні,
Сергіївська гімназія з дошкільним підрозділом Братської селищної ради Вознесенського району Миколаївської області,142498,Так,Сергіївська гімназія з дошкільним підрозділом,працює,ліцей,Комунальна,4821484601,Миколаївська область,"с. Сергіївка, Братський район, Миколаївська область","провулок Шкільний, 1",UA48040010270020122,"Миколаївська обл., Вознесенський р-н",,"Братський відділ освіти, культури, туризму, молоді та спорту Братської селищної ради Вознесенського району Миколаївської області",(05131)95180,,sergeevskazosh@gmail.com,https://sergiivskaschool.e-schools.info,Дурнєва Руслана Юріївна,Ні,Так,Ні,Ні,
Митченківська філія І-ІІ ступенів Батуринської загальноосвітньої школи І-ІІІ ступенів імені Григорія Орлика Батуринської міської ради Ніжинського району Чернігівської області,142499,Так,Митченківська філія І-ІІ ст. Батуринської ЗОШ І-ІІІ ст.,працює,навчально-виховний комплекс (об'єднання),Комунальна,7420386501,Чернігівська область,"с. Митченки, Бахмацький район, Чернігівська область","вулиця Центральна, 31-А",UA74040010110011334,"Чернігівська обл., Ніжинський р-н",Батуринська загальноосвітня школа І-ІІІ ступенів імені Григорія Орлика Батуринської міської ради Ніжинського району Чернігівської області,Батуринська міська рада,(04635)49319,,,,Наумчик Світлана Іванівна,Філія,Так,Ні,Ні,
Заслучненський ліцей імені Олексія Іщука Заслучненської сільської ради Хмельницького району Хмельницької області,142500,Так,Заслучненський ліцей імені Олексія Іщука,працює,ліцей,Комунальна,6822783401,Хмельницька область,"с. Заслучне, Красилівський район, Хмельницька область","вулиця Шкільна, 1",UA68040170010094308,"Хмельницька обл., Хмельницький р-н",,Заслучненська сільська рада Хмельницького району Хмельницької області,(067)2733743,,zasluchne1.school@gmail.com,https://zasluchne.e-schools,Шимчук Катерина Дмитрівна,Опорний заклад,Так,Ні,Ні,318
"філія ""Петрівська гімназія"" комунального закладу ""Опорний заклад ""Кодимський ліцей №2"" Кодимської міської ради Подільського району Одеської області",142501,Так,"філія ""Петрівська гімназія""",ліквідовано,гімназія,Комунальна,5122583901,Одеська область,"с. Петрівка, Кодимський район, Одеська область","вулиця Шкільна, 41",UA51120090120086720,"Одеська обл., Подільський р-н",Комунальний заклад «Опорний заклад «Кодимський ліцей №2» Кодимської міської ради Подільського району Одеської області,"Відділ освіти, молоді та спорту Кодимської міської ради Подільського району Одеської області",(04867)21630,,s.petrivka@ukr.net,kodzoshpetrivka.odessaedu.net,Чопик Олег Іванович,Філія,Так,Ні,Ні,
"Комунальний заклад ""Довжанський ліцей"" Золочівської селищної ради",142502,Так,"КЗ ""Довжанський ліцей""",працює,ліцей,Комунальна,6322682501,Харківська область,"с. Довжик, Золочівський район, Харківська область","вулиця Миру, 91",UA63020050170043431,"Харківська обл., Богодухівський р-н",,"Відділ освіти, молоді та спорту Золочівської селищної ради",(099)4977214,,dovzhyk_skola@ukr.net,http://dovzhik-zoloshiv.edu.kh.ua,Попова Людмила Іванівна,Ні,Так,Ні,Ні,
Головківська гімназія Олександрійської міської ради Кіровоградської області,142503,Так,Головківська гімназія,працює,гімназія,Комунальна,3520382101,Кіровоградська область,"с. Головківка, Олександрійський район, Кіровоградська область","вулиця Соборна, 40",UA35080050050066025,"Кіровоградська обл., Олександрійський р-н",,Управління освіти Олександрійської міської ради,(050)1068465,(05235)6-27-43,golovkivka90@meta.ua,golovkivka-school.edukit.kr.ua,Куруп Анатолій Дмитрович,Ні,Так,Ні,Ні,
Павлопільська гімназія Мозолевської сільської ради,142504,Так,Павлопільська гімназія,працює,гімназія,Комунальна,1222985001,Дніпропетровська область,"с. Павлопілля, Нікопольський район, Дніпропетровська область","вулиця Українська, 29",UA12080070320047959,"Дніпропетровська обл., Нікопольський р-н",,"Відділ освіти, сім'ї, молоді та спорту, культури та туризму Виконавчого комітету Мозолевської сільської ради Нікопольського району Дніпропетровської області",(098)8023153,,pavlopillya.21@gmail.com,http://pavlopillia-school.edukit.dp.ua/,Мельник Любов Василівна,Ні,Так,Ні,Ні,
"Бахмацька філія І-ІІ ступенів опорного закладу ""Бахмацький заклад загальної середньої освіти І-ІІІ ступенів №2 Бахмацької міської ради""",142505,Так,"Бахмацька філія І-ІІ ст. опорного закладу ""Бахмацький ЗЗСО І-ІІІ ст №2""",ліквідовано,гімназія,Комунальна,7420380501,Чернігівська область,"с. Бахмач, Бахмацький район, Чернігівська область","вулиця Грушевського, 1",UA74040030020071408,"Чернігівська обл., Ніжинський р-н",Бахмацький заклад загальної середньої освіти І-ІІІ ступенів №2 Бахмацької міської ради,Бахмацька міська рада,(04635)46599,,,,Сафронова Олена Володимирівна,Філія,Так,Ні,Ні,
Слободо-Межирівський дошкільний відокремлений підрозділ Сербинівської гімназії Северинівської сільської ради,142506,Так,,реорганізовано,початкова школа,Комунальна,0521085603,Вінницька область,"с. Слобода-Межирівська, Жмеринський район, Вінницька область","вулиця Шевченка, 1/А",UA05060110100041424,"Вінницька обл., Жмеринський р-н",,"Відділ освіти, молоді та спорту Северинівської сільської ради",(067)458-31-32,,sl-m-nvk2017@ukr.net,,Брик Зінаїда Іванівна,Ні,Так,Ні,Ні,
Половецький ліцей Гришковецької селищної ради Бердичівського району Житомирської області,142507,Так,Половецький ліцей,працює,ліцей,Комунальна,1820884801,Житомирська область,"с. Половецьке, Бердичівський район, Житомирська область","вулиця Центральна, 41",UA18020070110095927,"Житомирська обл., Бердичівський р-н",,"Відділ освіти, молоді та спорту Гришковецької селищної ради Бердичівського району Житомирської області",(04143)67840,,polovetskazosh16@gmail.com,,Кирисюк Тетяна Вікторівна,Ні,Так,Ні,Ні,
Летичівський ліцей №2 Летичівської селищної ради Хмельницького району Хмельницької області,142508,Так,Летичівський ліцей № 2,працює,ліцей,Комунальна,6823055100,Хмельницька область,"смт Летичів, Летичівський район, Хмельницька область","вулиця Огієнка Івана, 1",UA68040230010042708,"Хмельницька обл., Хмельницький р-н",,"Відділ освіти, молоді та спорту Летичівської селищної ради","(03857)91584, (03857)91396",,letichev.nvk2@ukr.net,http://nvk2.klasna.com/,Івасюк Галина Іванівна,Ні,Ні,Ні,Ні,
"комунальний заклад освіти ""Вишнівська гімназія"" Покровської селищної ради Синельниківського району Дніпропетровської області",142509,Так,"КЗО ""ВИШНІВСЬКА ГІМНАЗІЯ""",працює,гімназія,Комунальна,1224284501,Дніпропетровська область,"с. Вишневе, Покровський район, Дніпропетровська область","вулиця Дніпровська, 49",UA12140250060087445,"Дніпропетровська обл., Синельниківський р-н",,"Відділ освіти, молоді та спорту виконавчого комітету Покровської селищної ради",(0563)858637,,vyshnivskazosh@i.ua,http://zoshvishenka.klasna.com,Ткаченко Наталія Миколаївна,Ні,Так,Ні,Ні,278
Бахмацька гімназія Бахмацької міської ради,142510,Так,гімназія,реорганізовано,спеціалізована школа,Комунальна,7420310100,Чернігівська область,"Бахмач, Бахмацький район, Чернігівська область","вулиця Ярослава Мудрого, 2",UA74040030010089994,"Чернігівська обл., Ніжинський р-н",,"Відділ освіти, сім'ї, молоді та спорту Бахмацької міської ради","(04635)21811, (04635)21264",,Bakhmach_gymnasiym@ukr.net,,Дудка Валентина Федорівна,Ні,Ні,Ні,Ні,
Кобеляцька гімназія №3 Кобеляцької міської ради Полтавської області,142511,Так,Кобеляцька гімназія № 3,працює,гімназія,Комунальна,5321810100,Полтавська область,"Кобеляки, Кобеляцький район, Полтавська область","вулиця 1 Травня, 43/2",UA53080130010037756,"Полтавська обл., Полтавський р-н",,"Управління освіти, культури, туризму, молоді та спорту Кобеляцької міської ради",(05343)31337,,kobelyakyschool3@meta.ua,,Масич Таїсія Олександрівна,Ні,Ні,Ні,Ні,
Сушовецький ліцей Білогірської селищної ради Шепетівського району Хмельницької області,142512,Так,Сушовецький ліцей,працює,ліцей,Комунальна,6820388501,Хмельницька область,"с. Сушівці, Білогірський район, Хмельницька область","вулиця Центральна, 17",UA68060030520018424,"Хмельницька обл., Шепетівський р-н",,Білогірська селищна рада Білогірського району Хмельницької області,(03841)95747,,syshivciscool@ukr.net,http://syschivcizoch.ucoz.ua,Панчоха Таміла Ларіонівна,Ні,Так,Ні,Ні,
Бригинцівська гімназія Бобровицької міської ради Чернігівської області,142513,Так,Бригинцівська гімназія,працює,гімназія,Комунальна,7420681601,Чернігівська область,"с. Бригинці, Бобровицький район, Чернігівська область","вулиця Центральна, 22",UA74040050030063924,"Чернігівська обл., Ніжинський р-н",,Відділ освіти Бобровицької міської ради Чернігівської області,(097)7136833,,brigintzi.shkola@gmail.com,,Дьошина Олена Михайлівна,Ні,Так,Ні,Ні,
Лавківська загальноосвітня школа І-ІІ ступеня Мукачівської міської ради Закарпатської області,142514,Так,Лавківська ЗОШ,працює,школа,Комунальна,2122784801,Закарпатська область,"с. Лавки, Мукачівський район, Закарпатська область","вулиця Миру, 31",UA21040150090028594,"Закарпатська обл., Мукачівський р-н",,Управління освіти виконавчого комітету Мукачівської міської ради,(095)1243330,,lschool@mukachevo-rada.gov.ua,,Васьо Любов Петрівна,Ні,Так,Ні,Ні,
Дерценська загальноосвітня школа I-III ступенів Мукачівської міської ради Закарпатської області,142515,Так,Дерценська ЗОШ,працює,школа,Комунальна,2122782001,Закарпатська область,"с. Дерцен, Мукачівський район, Закарпатська область","вулиця Ракоці, 103",UA21040150040085395,"Закарпатська обл., Мукачівський р-н",,Управління освіти виконавчого комітету Мукачівської міської ради,"(03131)67-4-37, (095)8667685",,dschool@mukachevo-rada.gov.ua,,Патай Марина Михайлівна,Ні,Так,Ні,Ні,
"Комунальний заклад ""Богодухівський ліцей №1"" Богодухівської міської ради Богодухівського району Харківської області",142516,Так,"КЗ ""Богодухівський ліцей №1""",працює,ліцей,Комунальна,6320810100,Харківська область,"Богодухів, Богодухівський район, Харківська область","площа Каразіна, 14",UA63020010010049442,"Харківська обл., Богодухівський р-н",,Управління освіти Богодухівської міської ради Харківської області,(05758)33086,,bgim1@ukr.net,https://bgd1.licey.org.ua/,Михасюк Оксана Костянтинівна,Ні,Ні,Ні,Ні,
Краснопільський ліцей Краснопільської сільської ради Гайсинського району Вінницької області,142517,Так,Краснопільський ліцей,працює,ліцей,Комунальна,0520882803,Вінницька область,"с. Краснопілка, Гайсинський район, Вінницька область","вулиця Центральна, 11",UA05040090010040066,"Вінницька обл., Гайсинський р-н",,"Відділ освіти, культури, молоді та спорту Краснопільської сільської ради",(04334)51271,,krasnopilka.school.vn@gmail.com,http://krs.gnedu.vn.ua,Чайнюк Олександр Степанович,Опорний заклад,Так,Ні,Ні,
"Навчально-виховний комплекс ""Загальноосвітня школа І ступеня-дошкільний навчальний заклад"" с. Оленівка Гусятинського району Тернопільської області",142518,Так,"НВК ""ЗОШ І ст.-ДНЗ"" с. Оленівка",працює,навчально-виховний комплекс (об'єднання),Комунальна,6121655402,Тернопільська область,"с. Оленівка, Гусятинський район, Тернопільська область","вулиця Шкільна, 5",UA61060110190028328,"Тернопільська обл., Чортківський р-н",,"Відділ освіти, сім'ї, молоді та спорту Гусятинської районної державної адміністрації",(03557)34310,,stefavojtovich@ukr.net,http://nvk-olenivka.klasna.com,Войтович Стефанія Василівна,Ні,Так,Ні,Ні,
Золотоніська спеціалізована школа №1 Золотоніської міської ради Черкаської області,142519,Так,СШ №1,працює,спеціалізована школа,Комунальна,7110400000,Черкаська область,"Золотоноша, Черкаська область","вулиця Черкаська, 12",UA71040090010057400,Черкаська обл.,,Відділ освіти виконавчого комітету Золотоніської міської ради,"(04737)53293, (04737)52498",,schoolsp@ukr.net,https://zss-nomer1.e-schools.info/,Горошочок Віктор Якович,Ні,Ні,Ні,Ні,506
Кацмазівська філія I-II ступенів Станіславчицького опорного закладу загальної середньої освіти I-III ступенів Станіславчицької сільської ради Жмеринського району Вінницької області,142520,Так,Кацмазівська філія I-II ступенів Станіславчицького ОЗЗСО,ліквідовано,школа,Комунальна,0521082803,Вінницька область,"с. Кацмазів, Жмеринський район, Вінницька область","вулиця Миру, 3",UA05060130080053563,"Вінницька обл., Жмеринський р-н",Станіславчицький опорний заклад загальної середньої освіти І-ІІІ ступенів Станіславчицької сільської ради Жмеринського району Вінницької області,"Відділ освіти, сім’ї, молоді, спорту, культури і туризму Станіславчицької сільської ради",(097)516-24-52,,katsmazivschool@ukr.net,,Паламар Віталій Григорович,Філія,Так,Ні,Ні,
Плосківська початкова школа Балтської міської ради Одеської області,142521,Так,Плосківська початкова школа,ліквідовано,початкова школа,Комунальна,5120687201,Одеська область,"с. Плоске, Балтський район, Одеська область","вулиця Кудрявцева, 152",UA51120030290021918,"Одеська обл., Подільський р-н",,Відділ освіти Балтської міської ради Одеської області,(04866)76240,,osvita-ploske@ukr.net,,Жук Любов ЄвгеніЇвна,Ні,Так,Ні,Ні,
"Криворізький ліцей ""Кредо"" Криворізької міської ради",142522,Так,"КЛ ""Кредо"" КМР",працює,ліцей,Комунальна,1211037500,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Великого Кобзаря, 16",UA12060170010720279,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконкому Центрально-Міської районної у місті ради,(097)5541016,,kcmg@ukr.net,www.licey.org,Шапарєва Надія Іванівна,Ні,Ні,Ні,Ні,460
Криворізька гімназія №75 Криворізької міської ради,142523,Так,КГ №75 КМР,працює,гімназія,Комунальна,1211036300,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Героїв АТО, 52",UA12060170010378670,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконавчого комітету Металургійної районної у місті ради,(056)443-05-42,,school75kr-rog@ukr.net,https://sites.google.com/site/school75krrog/,Маханькова Олена Анатоліївна,Ні,Ні,Ні,Ні,554
Славутська гімназія №5 Славутської міської ради,142524,Так,Славутська гімназія №5,працює,гімназія,Комунальна,6810600000,Хмельницька область,"Славута, Хмельницька область","вулиця Ярослава Мудрого, 60",UA68060270010040268,Хмельницька обл.,,Управління освіти виконавчого комітету Славутської міської ради,(03842)7-25-81,,gymnasium5sl@gmail.com,http://www.nvk5.osvitasl.km.ua,Василець Оксана Сергіївна,Ні,Ні,Ні,Ні,540
Криворізька гімназія №124 Криворізької міської ради,142525,Так,КГ №124 КМР,працює,гімназія,Комунальна,1211037000,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","мікрорайон Гірницький, 33-А",UA12060170010585703,"Дніпропетровська обл., м. Кривий Ріг",,Управління освіти виконкому Саксаганської районної у місті ради,(097)5553467,,sh124@ukr.net,http://krschool124.dnepredu.com/,Тимош Вікторія Вікторівна,Ні,Ні,Ні,Ні,711
Криворізький ліцей №113 Криворізької міської ради,142526,Так,КЛ №113 КМР,працює,ліцей,Комунальна,1211037000,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Віктора Оцерклевича, 39-А",UA12060170010585703,"Дніпропетровська обл., м. Кривий Ріг",,Управління освіти виконкому Саксаганської районної у місті ради,(097)6993829,,school_113@ukr.net,http://school113.dnepredu.com/,Євдокимова Тамара Василівна,Ні,Ні,Ні,Ні,539
гімназія с. Іванопіль Іванівської сільської ради Вінницької області,142527,Так,гімназія с. Іванопіль,працює,гімназія,Комунальна,0522487002,Вінницька область,"с. Іванопіль, Літинський район, Вінницька область","вулиця Каштанова, 15",UA05120050060067771,"Вінницька обл., Хмільницький р-н",,"Відділ освіти, культури, молоді та спорту Іванівської сільської ради",(04347)31625,,Uladivka2@i.ua,uladivka2.e-schools.info,Дехтярьова Наталія Леонідівна,Ні,Так,Ні,Ні,
Гімназія ім. М.П. Стельмаха с. Дяківці Літинської селищної ради Вінницької області,142528,Так,Гімназія ім. М.П.Стельмаха с. Дяківці,працює,гімназія,Комунальна,0522482601,Вінницька область,"с. Дяківці, Літинський район, Вінницька область","вулиця Центральна, 2",UA05020130160030152,"Вінницька обл., Вінницький р-н",,"Відділ освіти, культури, молоді та спорту Літинської селищної ради",(04347)33471,,dyackivtsinvk@ukr.net,https://dyakivtsinvk.e-schools.info/,Човган Олена Володимирівна,Ні,Так,Ні,Ні,105
"Опорний заклад освіти ""Новогалещинський ліцей Новогалещинської селищної ради""",142529,Так,Новогалещинський ліцей,працює,ліцей,Комунальна,5322055501,Полтавська область,"с. Велика Безуглівка, Козельщинський район, Полтавська область","провулок Освітній, 1",UA53020130060029269,"Полтавська обл., Кременчуцький р-н",,Відділ освіти та молоді Новогалещинської селищної ради,(05342)97384,,pokoz.ngal@gmail.com,https://nglic4ua.wixsite.com/osvita,Кіріченко Віктор Павлович,Опорний заклад,Ні,Ні,Ні,624
Білухівська гімназія Мартинівської сільської ради Полтавського району Полтавської області,142530,Так,Білухівська гімназія,працює,гімназія,Комунальна,5321680401,Полтавська область,"с. Білухівка, Карлівський район, Полтавська область","вулиця Кучеренка, 26",UA53080210020031009,"Полтавська обл., Полтавський р-н",,"Відділ освіти, культури та спорту Мартинівської сільської ради",(05346)96340,,biluhivskagimnazia@gmail.com,http://bilzosh.at.ua,Безпалько Ольга Миколаївна,Ні,Так,Ні,Ні,
Зеленогайський ліцей Новоселицької міської ради Чернівецького району Чернівецької області,142531,Так,Зеленогайський ліцей,працює,ліцей,Комунальна,7323082401,Чернівецька область,"с. Зелений Гай, Новоселицький район, Чернівецька область","вулиця Остапа Вишні, 39-А",UA73060410050057030,"Чернівецька обл., Чернівецький р-н",,Відділ освіти Новоселицької міської ради Чернівецького району Чернівецької області,(03733)64240,,z_gznz@ua.fm,http://zgznz.kl.com.ua,Ткач Оксана Василівна,Ні,Так,Ні,Ні,320
"Комунальний заклад ""Золочівський ліцей №1"" Золочівської селищної ради",142532,Так,"КЗ ""Золочівський ліцей №1""",працює,ліцей,Комунальна,6322655100,Харківська область,"смт Золочів, Золочівський район, Харківська область","вулиця Центральна, 29",UA63020050010064235,"Харківська обл., Богодухівський р-н",,"Відділ освіти, молоді та спорту Золочівської селищної ради","(05764)5-15-79, (05164)5-08-02",,zolschool1@ukr.net,http://zolgimnazia1.ucoz.com/,Федорова Валентина Миколаївна,Ні,Ні,Ні,Ні,
